m,n_team,k,rule,seed,ok,runtime
3,2,4,veto,37,False,0.00011040014214813709
3,2,4,veto,38,True,0.00014739995822310448
3,2,4,veto,39,False,8.87999776750803e-05
3,2,4,veto,40,True,0.00015329988673329353
3,2,4,veto,41,False,6.500002928078175e-05
3,2,4,veto,42,False,8.050003089010715e-05
3,2,4,veto,43,False,8.420017547905445e-05
3,2,4,veto,44,False,5.679996684193611e-05
3,2,4,veto,45,False,5.959998816251755e-05
3,2,4,veto,46,True,0.0001962999813258648
3,2,4,veto,47,False,0.00010850001126527786
3,2,4,veto,48,True,0.00013689999468624592
3,2,4,veto,49,True,0.00023370003327727318
3,2,4,borda,0,False,8.059991523623466e-05
3,2,4,borda,1,True,0.000143800163641572
3,2,4,borda,2,False,5.530007183551788e-05
3,2,4,borda,3,False,5.4099829867482185e-05
3,2,4,borda,4,True,0.00018119998276233673
3,2,4,borda,5,True,0.0003450000658631325
3,2,4,borda,6,False,7.499987259507179e-05
3,2,4,borda,7,False,5.519995465874672e-05
3,2,4,borda,8,False,6.46000262349844e-05
3,2,4,borda,9,False,7.580011151731014e-05
3,2,4,borda,10,False,5.610007792711258e-05
3,2,4,borda,11,True,0.00015750015154480934
3,2,4,borda,12,False,8.390005677938461e-05
3,2,4,borda,13,True,0.00014750007539987564
3,2,4,borda,14,False,5.5900076404213905e-05
