m,n_team,rule,seed,ok,runtime
3,4,2-approval,25,False,0.00013679987750947475
3,4,2-approval,26,False,8.309981785714626e-05
3,4,2-approval,27,False,0.00010040006600320339
3,4,2-approval,28,True,9.870016947388649e-05
3,4,2-approval,29,False,0.00010370020754635334
3,4,2-approval,30,False,0.000134600093588233
3,4,2-approval,31,False,0.00012349989265203476
3,4,2-approval,32,False,8.430005982518196e-05
3,4,2-approval,33,False,0.0001620999537408352
3,4,2-approval,34,False,0.0001091999001801014
3,4,2-approval,35,False,7.30000901967287e-05
3,4,2-approval,36,False,7.189996540546417e-05
3,4,2-approval,37,True,0.00018620002083480358
3,4,2-approval,38,False,6.200000643730164e-05
3,4,2-approval,39,False,6.349990144371986e-05
3,4,2-approval,40,False,0.00013209995813667774
3,4,2-approval,41,True,0.00010780012235045433
3,4,2-approval,42,True,0.0001666999887675047
3,4,2-approval,43,False,0.00015540001913905144
3,4,2-approval,44,False,6.640003994107246e-05
3,4,2-approval,45,False,6.400002166628838e-05
3,4,2-approval,46,False,0.00020330003462731838
3,4,2-approval,47,True,0.00021500000730156898
3,4,2-approval,48,False,9.449990466237068e-05
3,4,2-approval,49,False,0.0001738998107612133
3,4,veto,0,False,0.00013819988816976547
3,4,veto,1,False,8.140015415847301e-05
3,4,veto,2,False,0.00015029986388981342
3,4,veto,3,False,0.00015540001913905144
3,4,veto,4,False,9.480002336204052e-05
3,4,veto,5,False,6.160000339150429e-05
3,4,veto,6,False,6.870017386972904e-05
3,4,veto,7,False,8.359993807971478e-05
3,4,veto,8,False,0.00010380009189248085
3,4,veto,9,True,0.0001050999853760004
3,4,veto,10,True,0.00010600010864436626
3,4,veto,11,False,0.00011579995043575764
3,4,veto,12,False,0.00015939981676638126
3,4,veto,13,False,7.770000956952572e-05
3,4,veto,14,True,0.00025349995121359825
3,4,veto,15,False,0.00014769984409213066
3,4,veto,16,False,0.00012369989417493343
3,4,veto,17,False,7.569999434053898e-05
3,4,veto,18,False,6.87998253852129e-05
3,4,veto,19,False,6.869994103908539e-05
3,4,veto,20,False,0.00011040014214813709
3,4,veto,21,True,0.00011799996718764305
3,4,veto,22,False,0.00014739995822310448
3,4,veto,23,False,7.199984975159168e-05
3,4,veto,24,False,0.00015239999629557133
3,4,veto,25,False,7.469998672604561e-05
3,4,veto,26,False,8.370005525648594e-05
3,4,veto,27,False,8.379993960261345e-05
3,4,veto,28,True,0.00016529997810721397
3,4,veto,29,False,7.509998977184296e-05
3,4,veto,30,False,0.00015230011194944382
3,4,veto,31,False,0.0003154999576508999
3,4,veto,32,False,6.940006278455257e-05
3,4,veto,33,False,6.970018148422241e-05
3,4,veto,34,False,7.939990609884262e-05
3,4,veto,35,False,6.710016168653965e-05
3,4,veto,36,False,0.0001066999975591898
3,4,veto,37,True,9.780004620552063e-05
3,4,veto,38,False,7.349997758865356e-05
3,4,veto,39,False,0.0001355998683720827
3,4,veto,40,False,0.00014150002971291542
3,4,veto,41,True,0.00026219990104436874
3,4,veto,42,True,0.0004064999520778656
3,4,veto,43,False,0.00015059998258948326
3,4,veto,44,False,9.520002640783787e-05
3,4,veto,45,False,8.580018766224384e-05
3,4,veto,46,False,8.430005982518196e-05
3,4,veto,47,True,0.0001313001848757267
3,4,veto,48,False,7.810001261532307e-05
3,4,veto,49,False,7.599988020956516e-05
